GUID,GEOGID,GEOGDESC,T3_1YES,T3_1NO,T3_1NS,T3_1T,T3_2DIM,T3_2DIDOM,T3_2DIWOM,T3_2DILOOM,T3_2DINOM,T3_2DOESM,T3_2WOESM,T3_2LOOESM,T3_2NOESM,T3_2NSM,T3_2ALLM,T3_2DIF,T3_2DIDOF,T3_2DIWOF,T3_2DILOOF,T3_2DINOF,T3_2DOESF,T3_2WOESF,T3_2LOOESF,T3_2NOESF,T3_2NSF,T3_2ALLF,T3_2DIT,T3_2DIDOT,T3_2DIWOT,T3_2DILOOT,T3_2DINOT,T3_2DOEST,T3_2WOEST,T3_2LOOEST,T3_2NOEST,T3_2NST,T3_2ALLT
2AE19629235A13A3E055000000000001,ED3409_26001,Ballybaan,"3,877","7,703",691,"12,271",640,22,14,7,1,80,122,525,274,15,"1,700",750,17,8,6,5,98,148,673,438,34,"2,177","1,390",39,22,13,6,178,270,"1,198",712,49,"3,877"
2AE19629235B13A3E055000000000001,ED3409_26002,Baile an Bhriotaihg,338,538,39,915,37,2,0,0,0,11,11,48,44,1,154,33,6,0,0,0,6,11,69,58,1,184,70,8,0,0,0,17,22,117,102,2,338
2AE19629235C13A3E055000000000001,ED3409_26003,Bearna,"7,239","6,904",318,"14,461","1,002",70,16,9,3,237,252,"1,050",467,24,"3,130","1,250",115,17,10,3,275,348,"1,422",645,24,"4,109","2,252",185,33,19,6,512,600,"2,472","1,112",48,"7,239"
2AE19629235D13A3E055000000000001,ED3409_26004,An Caisle�n Gearr,"1,394","2,344",156,"3,894",135,7,1,2,0,39,56,262,129,6,637,194,12,2,1,0,44,61,283,155,5,757,329,19,3,3,0,83,117,545,284,11,"1,394"
2AE19629235E13A3E055000000000001,ED3409_26005,Claddagh,"1,116","1,345",90,"2,551",69,1,2,1,0,37,69,204,99,5,487,87,9,2,2,0,40,66,279,137,7,629,156,10,4,3,0,77,135,483,236,12,"1,116"
2AE19629235F13A3E055000000000001,ED3409_26006,Dangan,"1,903","2,028",90,"4,021",116,6,0,4,1,36,76,361,180,6,786,176,14,4,1,0,40,104,507,264,7,"1,117",292,20,4,5,1,76,180,868,444,13,"1,903"
2AE19629236013A3E055000000000001,ED3409_26007,Eyre Square,"1,225","2,601",248,"4,074",35,1,1,0,1,46,57,235,153,9,538,64,5,1,1,1,29,60,324,198,4,687,99,6,2,1,2,75,117,559,351,13,"1,225"
2AE19629236113A3E055000000000001,ED3409_26008,An Cnoc�n Carrach,783,652,18,"1,453",62,3,0,0,1,31,34,132,77,1,341,82,6,0,0,0,25,40,193,96,0,442,144,9,0,0,1,56,74,325,173,1,783
2AE19629236F13A3E055000000000001,ED3409_26009,Lough Atalia,439,385,53,877,39,4,1,0,0,22,21,69,30,0,186,59,5,1,0,0,16,26,102,43,1,253,98,9,2,0,0,38,47,171,73,1,439
2AE19629237013A3E055000000000001,ED3409_26010,Mionlach,"2,148","2,631",181,"4,960",163,9,3,1,0,59,98,384,220,8,945,236,14,4,1,0,60,110,494,278,6,"1,203",399,23,7,2,0,119,208,878,498,14,"2,148"
2AE19629237113A3E055000000000001,ED3409_26011,Mervue,587,"1,005",201,"1,793",44,4,0,1,0,10,20,117,64,2,262,51,4,0,0,0,23,21,139,81,6,325,95,8,0,1,0,33,41,256,145,8,587
2AE19629237213A3E055000000000001,ED3409_26012,Murroogh,"1,005","1,569",169,"2,743",86,5,0,0,0,20,40,202,91,6,450,130,10,0,0,0,27,39,215,126,8,555,216,15,0,0,0,47,79,417,217,14,"1,005"
2AE19629237313A3E055000000000001,ED3409_26013,Newcastle,675,"1,136",41,"1,852",41,1,1,0,0,10,33,128,63,5,282,52,1,0,2,0,18,42,169,107,2,393,93,2,1,2,0,28,75,297,170,7,675
2AE19629237413A3E055000000000001,ED3409_26014,Nuns Island,590,793,53,"1,436",23,3,1,0,0,18,27,102,57,2,233,38,6,0,0,0,24,29,182,76,2,357,61,9,1,0,0,42,56,284,133,4,590
2AE19629237513A3E055000000000001,ED3409_26015,Rahoon,"1,260","1,642",44,"2,946",156,6,2,0,2,30,51,203,86,4,540,174,9,4,1,2,39,65,286,138,2,720,330,15,6,1,4,69,116,489,224,6,"1,260"
2AE19629237613A3E055000000000001,ED3409_26016,Renmore,624,608,51,"1,283",58,4,0,0,0,23,26,123,35,4,273,74,4,1,0,0,13,28,154,76,1,351,132,8,1,0,0,36,54,277,111,5,624
2AE19629237713A3E055000000000001,ED3409_26017,Rockbarton,"1,036",932,92,"2,060",109,6,1,1,0,28,46,191,84,4,470,91,5,1,1,0,22,55,257,128,6,566,200,11,2,2,0,50,101,448,212,10,"1,036"
2AE19629238413A3E055000000000001,ED3409_26018,Par�iste San Nicol�is,776,"1,462",124,"2,362",26,2,0,0,0,33,41,160,91,4,357,35,2,1,0,1,27,22,198,128,5,419,61,4,1,0,1,60,63,358,219,9,776
2AE19629238213A3E055000000000001,ED3409_26019,Salthill,"1,562","1,820",119,"3,501",135,14,1,1,1,42,79,282,145,8,708,151,11,3,2,0,46,81,370,181,9,854,286,25,4,3,1,88,160,652,326,17,"1,562"
2AE19629238313A3E055000000000001,ED3409_26020,Shantalla,656,987,193,"1,836",32,4,0,0,0,22,24,141,55,4,282,46,4,1,0,0,18,37,199,68,1,374,78,8,1,0,0,40,61,340,123,5,656
2AE19629238513A3E055000000000001,ED3409_26021,Taylors Hill,"1,374","1,436",71,"2,881",155,6,2,3,0,54,79,227,100,1,627,195,13,3,3,2,37,80,284,121,9,747,350,19,5,6,2,91,159,511,221,10,"1,374"
2AE19629238613A3E055000000000001,ED3409_26022,Wellpark,533,"1,021",75,"1,629",32,4,0,0,0,11,21,122,57,2,249,40,4,2,0,0,9,26,124,78,1,284,72,8,2,0,0,20,47,246,135,3,533
2AE19629205D13A3E055000000000001,ED3409_27001,Ballinasloe Urban,"2,414","3,724",171,"6,309",361,7,2,2,3,16,61,391,227,8,"1,078",410,12,2,3,2,30,85,495,286,11,"1,336",771,19,4,5,5,46,146,886,513,19,"2,414"
2AE19629210113A3E055000000000001,ED3409_27002,Abbeygormacan,164,213,8,385,26,0,0,0,0,0,2,28,19,0,75,31,0,0,1,0,0,2,36,19,0,89,57,0,0,1,0,0,4,64,38,0,164
2AE19629204713A3E055000000000001,ED3409_27003,Ahascragh,266,306,14,586,34,1,0,1,0,0,8,38,48,3,133,28,1,0,0,0,4,9,48,41,2,133,62,2,0,1,0,4,17,86,89,5,266
2AE19629205213A3E055000000000001,ED3409_27004,Aughrim,258,294,4,556,34,0,1,0,0,0,9,40,26,1,111,46,1,0,0,1,3,13,49,33,1,147,80,1,1,0,1,3,22,89,59,2,258
2AE19629205C13A3E055000000000001,ED3409_27005,Ballinasloe Rural,295,249,11,555,34,4,2,0,1,6,10,51,31,0,139,52,2,0,0,1,5,9,60,27,0,156,86,6,2,0,2,11,19,111,58,0,295
2AE19629207613A3E055000000000001,ED3409_27006,Ballymacward,151,146,0,297,25,3,0,0,0,1,2,26,16,0,73,13,1,0,0,0,2,5,40,17,0,78,38,4,0,0,0,3,7,66,33,0,151
2AE19629210513A3E055000000000001,ED3409_27007,Clonfert,164,239,7,410,18,0,0,0,1,1,4,24,24,1,73,29,2,0,0,0,0,6,30,24,0,91,47,2,0,0,1,1,10,54,48,1,164
2AE19629204813A3E055000000000001,ED3409_27008,Clontuskert,87,112,8,207,7,0,0,0,0,2,0,21,13,0,43,6,0,0,0,0,1,3,25,8,1,44,13,0,0,0,0,3,3,46,21,1,87
2AE19629237B13A3E055000000000001,ED3409_27009,Kellysgrove,165,175,9,349,13,3,1,0,0,2,6,23,16,1,65,24,3,0,0,0,2,11,41,18,1,100,37,6,1,0,0,4,17,64,34,2,165
2AE19629239813A3E055000000000001,ED3409_27010,Kilconnell,284,356,9,649,21,1,1,0,1,5,6,55,24,1,115,53,0,0,0,0,3,12,57,42,2,169,74,1,1,0,1,8,18,112,66,3,284
2AE1962923A613A3E055000000000001,ED3409_27011,Killaan,227,273,3,503,32,0,0,1,0,4,4,30,30,0,101,48,0,0,0,0,3,6,36,33,0,126,80,0,0,1,0,7,10,66,63,0,227
