GUID,GEOGDESC,Speakers2006,Speakers2011,Speakers2016,Speakers2022
2ae19629-235a-13a3-e055-000000000001,BALLYBAAN,0.3411103910131778,0.3440879276723985,,0.35387480049654196
2ae19629-235b-13a3-e055-000000000001,BALLYBRIT,0.41184971098265893,0.41800246609124536,0.3858447488584475,0.37753882915173237
2ae19629-235c-13a3-e055-000000000001,BARNA,0.5126949883836708,0.5269827072152653,,0.5326606479022836
2ae19629-235d-13a3-e055-000000000001,CASTLEGAR,0.4268363215731637,0.38141616214793367,,0.3649387861422245
2ae19629-235e-13a3-e055-000000000001,CLADDAGH,0.47141190198366395,0.5122370115929583,,0.4783313082219522
2ae19629-235f-13a3-e055-000000000001,DANGAN,0.5241228070175439,0.5110419026047565,,0.4806435394670689
2ae19629-2360-13a3-e055-000000000001,EYRE SQUARE,0.3605792832596956,0.3726437892701788,,0.3332341565010414
2ae19629-2361-13a3-e055-000000000001,KNOCKNACARRAGH,0.5895039539899353,0.579092159559835,0.5456445993031359,0.5588020452885317
2ae19629-236f-13a3-e055-000000000001,LOUGH ATALIA,0.506398537477148,0.5305429864253394,0.5327669902912622,0.5380774032459426
2ae19629-2370-13a3-e055-000000000001,MENLOUGH,0.46389185343294204,0.4574152542372881,,0.48115079365079366
2ae19629-2371-13a3-e055-000000000001,MERVUE,0.3516908212560386,0.3808411214953271,,0.3930772878141299
2ae19629-2372-13a3-e055-000000000001,MURROOGH,0.4570565386275356,0.46669531585732704,,0.43112145906092353
2ae19629-2373-13a3-e055-000000000001,NEWCASTLE,0.41440981093510476,0.41966838193253286,,0.4103308183401045
2ae19629-2374-13a3-e055-000000000001,NUNS ISLAND,0.5317700453857791,0.4763458401305057,0.42660882140274764,0.49341021416803954
2ae19629-2375-13a3-e055-000000000001,RAHOON,0.44676258992805756,0.4333690603787067,,0.43193110301424315
2ae19629-2376-13a3-e055-000000000001,RENMORE,0.5166666666666667,0.5562130177514792,0.5064935064935064,0.5178571428571429
2ae19629-2377-13a3-e055-000000000001,ROCKBARTON,0.5391108610016883,0.5980560320182962,,0.5548890221955609
2ae19629-2384-13a3-e055-000000000001,St. NICHOLAS,0.3773656320968963,0.37032418952618457,,0.37891617273497036
2ae19629-2382-13a3-e055-000000000001,SALTHILL,0.4743155952014765,0.4902019897497739,,0.5032010243277849
2ae19629-2383-13a3-e055-000000000001,SHANTALLA,0.39008264462809916,0.4440251572327044,0.3992696287279367,0.4608195542774982
2ae19629-2385-13a3-e055-000000000001,TAYLORS HILL,0.47386493704692867,0.5228339735381989,,0.5069366329208849
2ae19629-2386-13a3-e055-000000000001,WELLPARK,0.34980494148244473,0.34520390580126364,,0.3335509138381201
2ae19629-205d-13a3-e055-000000000001,BALLINASLOE URBAN,0.42904062229904927,0.41747088186356074,,0.38582554517133955
2ae19629-2101-13a3-e055-000000000001,ABBEYGORMACAN,0.417910447761194,0.4357682619647355,0.4350132625994695,0.4232558139534884
2ae19629-2047-13a3-e055-000000000001,AHASCRAGH,0.48092868988391374,0.4504950495049505,0.46503496503496505,0.4421416234887737
2ae19629-2052-13a3-e055-000000000001,AUGHRIM,0.43037974683544306,0.48677248677248675,0.4673913043478261,0.44954128440366975
2ae19629-205c-13a3-e055-000000000001,BALLINASLOE RURAL,0.5333333333333333,0.5844827586206897,0.5422794117647058,0.4980769230769231
2ae19629-2076-13a3-e055-000000000001,BALLYMACWARD,0.5,0.42857142857142855,0.5084175084175084,0.4523809523809524
2ae19629-2105-13a3-e055-000000000001,CLONFERT,0.38967136150234744,0.46788990825688076,0.40694789081885857,0.36538461538461536
2ae19629-2048-13a3-e055-000000000001,CLONTUSKERT,0.4479638009049774,0.5,0.4371859296482412,0.39805825242718446
2ae19629-237b-13a3-e055-000000000001,KELLYSGROVE,0.5373134328358209,0.5313351498637602,0.4852941176470588,0.4628099173553719
2ae19629-2398-13a3-e055-000000000001,KILCONNELL,0.425531914893617,0.47335423197492166,0.44375,0.43211920529801323
2ae19629-23a6-13a3-e055-000000000001,KILLAAN,0.46520874751491054,0.5239085239085239,0.454,0.41834862385321103
2ae19629-23a7-13a3-e055-000000000001,KILLALLAGHTAN,0.5036144578313253,0.4904306220095694,0.5083135391923991,0.4676724137931034
2ae19629-22f7-13a3-e055-000000000001,KILLORAN,0.4584837545126354,0.5018450184501845,0.45901639344262296,0.37777777777777777
2ae19629-2306-13a3-e055-000000000001,KILLURE,0.3984272608125819,0.4416775884665793,0.4438040345821326,0.4403409090909091
2ae19629-2316-13a3-e055-000000000001,KILMACSHANE,0.37727272727272726,0.37554585152838427,0.40825688073394495,0.410958904109589
2ae19629-233d-13a3-e055-000000000001,KILTORMER,0.433392539964476,0.44315992292870904,0.4092920353982301,0.378099173553719
2ae19629-234d-13a3-e055-000000000001,KYLEMORE,0.41317365269461076,0.41139240506329117,0.4,0.4485294117647059
2ae19629-2358-13a3-e055-000000000001,LAURENCETOWN,0.3397790055248619,0.34626865671641793,0.34328358208955223,0.384180790960452
2ae19629-2380-13a3-e055-000000000001,LISMANNY,0.4847161572052402,0.3893805309734513,0.44214876033057854,0.47478991596638653
2ae19629-22de-13a3-e055-000000000001,OATFIELD,0.5126262626262627,0.5012224938875306,0.5147783251231527,0.5341176470588235
2ae19629-208c-13a3-e055-000000000001,BALLYNAKILL,0.328125,0.31985940246045697,0.25735294117647056,0.32842105263157895
2ae19629-20a6-13a3-e055-000000000001,BENCORR,0.29918032786885246,0.3807531380753138,0.26262626262626265,0.3076923076923077
