GUID,GEOGID,GEOGDESC,T3_1YES,T3_1NO,T3_1NS,T3_1T,T3_2DIM,T3_2DIDOM,T3_2DIWOM,T3_2DILOOM,T3_2DINOM,T3_2DOESM,T3_2WOESM,T3_2LOOESM,T3_2NOESM,T3_2NSM,T3_2ALLM,T3_2DIF,T3_2DIDOF,T3_2DIWOF,T3_2DILOOF,T3_2DINOF,T3_2DOESF,T3_2WOESF,T3_2LOOESF,T3_2NOESF,T3_2NSF,T3_2ALLF,T3_2DIT,T3_2DIDOT,T3_2DIWOT,T3_2DILOOT,T3_2DINOT,T3_2DOEST,T3_2WOEST,T3_2LOOEST,T3_2NOEST,T3_2NST,T3_2ALLT
2ae19629-23d4-13a3-e055-000000000001,2ae19629-23d4-13a3-e055-000000000001,DUNBELL,221,259,32,512,29,0,0,0,1,0,5,30,35,2,102,24,2,0,0,0,1,7,46,38,1,119,53,2,0,0,1,1,12,76,73,3,221
2ae19629-23de-13a3-e055-000000000001,2ae19629-23de-13a3-e055-000000000001,POWERSTOWN,212,251,44,507,32,1,0,0,0,1,2,25,26,0,87,42,0,1,0,0,1,5,40,35,1,125,74,1,1,0,0,2,7,65,61,1,212
2ae19629-22bb-13a3-e055-000000000001,2ae19629-22bb-13a3-e055-000000000001,SNEEM,242,503,58,803,20,0,0,0,0,5,8,57,24,2,116,21,0,0,0,0,7,4,57,35,2,126,41,0,0,0,0,12,12,114,59,4,242
2ae19629-22bc-13a3-e055-000000000001,2ae19629-22bc-13a3-e055-000000000001,St. FINAN'S,120,46,7,173,13,9,0,0,0,6,6,20,10,3,67,13,5,0,0,0,5,3,16,11,0,53,26,14,0,0,0,11,9,36,21,3,120
2ae19629-22c1-13a3-e055-000000000001,2ae19629-22c1-13a3-e055-000000000001,DUNMANOGE,183,266,4,453,27,2,1,0,0,0,3,30,26,3,92,18,2,0,0,0,3,6,29,31,2,91,45,4,1,0,0,3,9,59,57,5,183
2ae19629-22c2-13a3-e055-000000000001,2ae19629-22c2-13a3-e055-000000000001,DUNMURRY,205,246,44,495,24,2,0,0,0,0,5,31,28,0,90,31,2,0,0,0,2,7,37,33,3,115,55,4,0,0,0,2,12,68,61,3,205
2ae19629-22cc-13a3-e055-000000000001,2ae19629-22cc-13a3-e055-000000000001,DEELIS,164,182,16,362,16,0,0,0,0,3,6,27,16,2,70,30,1,0,0,0,4,6,36,15,2,94,46,1,0,0,0,7,12,63,31,4,164
2ae19629-22cd-13a3-e055-000000000001,2ae19629-22cd-13a3-e055-000000000001,KILLEANY,276,301,26,603,39,1,1,2,0,1,10,36,37,4,131,37,1,0,0,0,2,9,58,34,4,145,76,2,1,2,0,3,19,94,71,8,276
2ae19629-22d1-13a3-e055-000000000001,2ae19629-22d1-13a3-e055-000000000001,MOYCULLEN,1411,864,114,2389,198,18,2,0,0,48,72,255,89,7,689,197,14,1,3,2,49,74,280,94,8,722,395,32,3,3,2,97,146,535,183,15,1411
2ae19629-22d2-13a3-e055-000000000001,2ae19629-22d2-13a3-e055-000000000001,MOYNE,317,352,7,676,36,1,0,0,0,4,6,52,38,4,141,47,1,2,0,0,4,9,72,36,5,176,83,2,2,0,0,8,15,124,74,9,317
2ae19629-23e2-13a3-e055-000000000001,2ae19629-23e2-13a3-e055-000000000001,RATHBEAGH,135,138,7,280,29,0,0,0,0,1,4,21,13,1,69,28,0,1,0,1,0,1,21,14,0,66,57,0,1,0,1,1,5,42,27,1,135
2ae19629-23e5-13a3-e055-000000000001,2ae19629-23e5-13a3-e055-000000000001,RATHPATRICK,421,618,55,1094,51,0,2,1,0,2,6,66,62,3,193,50,0,0,0,0,2,11,89,68,8,228,101,0,2,1,0,4,17,155,130,11,421
2ae19629-23e7-13a3-e055-000000000001,2ae19629-23e7-13a3-e055-000000000001,FIDDOWN,480,530,36,1046,98,1,0,1,0,1,13,58,52,6,230,84,5,1,0,2,0,10,90,52,6,250,182,6,1,1,2,1,23,148,104,12,480
2ae19629-23fe-13a3-e055-000000000001,2ae19629-23fe-13a3-e055-000000000001,JOHNSTOWN,358,407,81,846,33,0,1,0,0,1,9,60,49,5,158,51,1,0,0,0,2,11,84,49,2,200,84,1,1,0,0,3,20,144,98,7,358
2ae19629-2404-13a3-e055-000000000001,2ae19629-2404-13a3-e055-000000000001,KILBRIDE,182,201,4,387,31,0,0,0,0,0,3,19,24,4,81,38,0,0,2,0,1,2,33,25,0,101,69,0,0,2,0,1,5,52,49,4,182
2ae19629-2405-13a3-e055-000000000001,2ae19629-2405-13a3-e055-000000000001,TULLAHERIN,116,99,9,224,21,0,0,0,0,0,3,13,18,1,56,22,0,0,0,0,2,3,20,13,0,60,43,0,0,0,0,2,6,33,31,1,116
2ae19629-240b-13a3-e055-000000000001,2ae19629-240b-13a3-e055-000000000001,KILKEASY,164,214,5,383,25,1,0,0,0,1,2,17,20,1,67,39,1,0,0,1,1,7,28,20,0,97,64,2,0,0,1,2,9,45,40,1,164
2ae19629-240d-13a3-e055-000000000001,2ae19629-240d-13a3-e055-000000000001,KILKENNY No. 2 URBAN,1333,2358,310,4001,141,10,1,0,0,15,30,219,145,11,572,172,14,1,0,0,20,34,299,209,12,761,313,24,2,0,0,35,64,518,354,23,1333
